,human_nums,normal_zombie_nums,elite_zombie_nums,winning_probability,death_mean,adrenaline_mean,round_mean,experiment_times
153,2,6,5,15.329999999999998,1.8034,1.795,7.6455,10000
154,2,7,0,100.0,0.0,2.3823,7.2349,10000
155,2,7,1,48.38,1.2469,1.9849,7.4839,10000
156,2,7,2,25.0,1.6767,1.6615,7.0904,10000
157,2,7,3,20.53,1.7333,1.7921,7.4638,10000
158,2,7,4,15.65,1.7973,1.8015,7.6649,10000
159,2,7,5,12.8,1.8389,1.8619,7.8934,10000
160,2,8,0,100.0,0.0,2.7405,8.2329,10000
161,2,8,1,43.0,1.3432,2.1313,8.1255,10000
162,2,8,2,20.41,1.7334,1.7657,7.4833,10000
163,2,8,3,15.89,1.7934,1.794,7.6345,10000
164,2,8,4,12.03,1.847,1.8196,7.8323,10000
165,2,8,5,10.35,1.872,1.8778,8.0905,10000
166,2,9,0,100.0,0.0,3.074,9.2192,10000
167,2,9,1,37.62,1.4269,2.2368,8.6116,10000
168,2,9,2,15.68,1.7994,1.7945,7.6972,10000
169,2,9,3,13.15,1.8361,1.8291,7.8181,10000
170,2,9,4,10.42,1.8706,1.8828,8.0934,10000
171,2,9,5,7.89,1.9015,1.8991,8.1651,10000
172,2,10,0,100.0,0.0,3.3908,10.2183,10000
173,2,10,1,32.39,1.5099,2.3392,9.084,10000
174,2,10,2,12.89,1.8369,1.8858,7.9867,10000
175,2,10,3,10.38,1.8711,1.8605,8.0865,10000
176,2,10,4,8.14,1.9012,1.9026,8.2292,10000
177,2,10,5,6.99,1.914,1.9332,8.4008,10000
178,3,0,1,99.82,0.1981,0.5714,1.1571,10000
179,3,0,2,97.64,0.4816,0.7928,1.7291,10000
180,3,0,3,91.25,0.8461,1.0559,2.6065,10000
181,3,0,4,84.97,1.1361,1.3211,3.4767,10000
182,3,0,5,77.60000000000002,1.3949,1.5305,4.2787,10000
183,3,1,0,100.0,0.0,0.5817,1.1447,10000
184,3,1,1,99.41,0.2736,0.7853,1.6683,10000
185,3,1,2,94.45,0.6786,1.0996,2.5666,10000
186,3,1,3,84.7,1.1293,1.3178,3.4348,10000
187,3,1,4,77.34,1.4017,1.5582,4.2792,10000
188,3,1,5,69.83,1.6368,1.7837,5.0626,10000
189,3,2,0,100.0,0.0,0.8231,1.6351,10000
190,3,2,1,98.06,0.4137,1.1293,2.4733,10000
191,3,2,2,88.94999999999996,0.9314,1.3625,3.367,10000
192,3,2,3,77.47,1.4001,1.5541,4.2786,10000
193,3,2,4,69.71000000000001,1.642,1.7592,5.0854,10000
194,3,2,5,61.81,1.8354,1.9667,5.7911,10000
195,3,3,0,100.0,0.0,1.1443,2.3312,10000
196,3,3,1,96.58,0.5388,1.4363,3.2398,10000
197,3,3,2,84.16,1.1498,1.6223,4.1957,10000
198,3,3,3,69.23,1.6356,1.7597,5.0388,10000
199,3,3,4,60.92999999999999,1.8566,1.9481,5.7935,10000
200,3,3,5,53.63,2.0291,2.0971,6.4431,10000
201,3,4,0,100.0,0.0,1.5202,3.0151,10000
202,3,4,1,94.01,0.6507,1.723,3.9898,10000
203,3,4,2,76.37,1.3699,1.8352,4.9656,10000
204,3,4,3,61.14000000000001,1.8555,1.9433,5.8174,10000
205,3,4,4,52.83,2.0505,2.1141,6.4732,10000
206,3,4,5,46.76000000000001,2.1927,2.2652,7.0869,10000
207,3,5,0,100.0,0.0,1.8319,3.6681,10000
208,3,5,1,91.48,0.7786,2.0095,4.8085,10000
209,3,5,2,69.25,1.5862,2.0828,5.7542,10000
210,3,5,3,53.03,2.0387,2.1088,6.4442,10000
211,3,5,4,46.59,2.1899,2.2508,7.0817,10000
212,3,5,5,39.31,2.3439,2.3988,7.6645,10000
213,3,6,0,100.0,0.0,2.1221,4.3153,10000
214,3,6,1,87.62,0.9358,2.3167,5.6496,10000
215,3,6,2,62.02,1.7697,2.2387,6.4241,10000
216,3,6,3,46.08,2.2014,2.2599,7.0717,10000
217,3,6,4,39.13,2.3411,2.3699,7.609,10000
218,3,6,5,33.48,2.4542,2.5004,8.0333,10000
219,3,7,0,100.0,0.0,2.497,4.9992,10000
220,3,7,1,83.73,1.0758,2.6168,6.4637,10000
221,3,7,2,55.54,1.9288,2.4797,7.1239,10000
222,3,7,3,39.73,2.3348,2.3875,7.6407,10000
223,3,7,4,33.92,2.4465,2.5078,8.1622,10000
224,3,7,5,28.12,2.5514,2.5568,8.4615,10000
225,3,8,0,100.0,0.0,2.8572,5.6767,10000
226,3,8,1,80.46,1.1913,2.8916,7.2116,10000
227,3,8,2,49.37000000000001,2.0738,2.6127,7.71,10000
228,3,8,3,33.82,2.4391,2.4854,8.1044,10000
229,3,8,4,28.35,2.5492,2.6075,8.5077,10000
230,3,8,5,23.46,2.633,2.6414,8.8189,10000
231,3,9,0,100.0,0.0,3.2030000000000003,6.3479,10000
232,3,9,1,75.32,1.3414,3.0763,7.9220000000000015,10000
233,3,9,2,43.69,2.1967,2.7586,8.2606,10000
234,3,9,3,28.86000000000001,2.5446,2.595,8.5374,10000
235,3,9,4,23.31,2.6336,2.6536,8.8265,10000
236,3,9,5,19.96,2.6955,2.7129,9.0796,10000
237,3,10,0,100.0,0.0,3.5397,7.0214,10000
238,3,10,1,72.03,1.4352,3.3382,8.6902,10000
239,3,10,2,37.96,2.3105,2.8329,8.6839,10000
240,3,10,3,23.52,2.6328,2.6141,8.7979,10000
241,3,10,4,20.630000000000006,2.6832,2.7291,9.1745,10000
242,3,10,5,17.06,2.7449,2.7614,9.3608,10000
243,4,0,1,100.0,0.1832,0.721,1.07,10000
244,4,0,2,99.79,0.4146,0.8811,1.382,10000
245,4,0,3,98.13,0.7565,1.1869,2.0267,10000
246,4,0,4,94.64,1.1378,1.4515,2.7575,10000
247,4,0,5,89.95,1.4471,1.7377,3.4683,10000
248,4,1,0,100.0,0.0,0.7155,1.065,10000
249,4,1,1,99.98,0.2288,0.8814,1.3643,10000
250,4,1,2,99.24,0.5569,1.1988,1.9566,10000
251,4,1,3,95.88,0.9945,1.4689,2.695,10000
252,4,1,4,90.15,1.4439,1.7585,3.4816,10000
253,4,1,5,85.26,1.7362,1.9614,4.2056,10000
254,4,2,0,100.0,0.0,0.9133,1.3558,10000
255,4,2,1,99.9,0.3136,1.2277,1.9045,10000
256,4,2,2,97.59,0.7573,1.5218,2.5936,10000
257,4,2,3,92.59,1.2691,1.7903,3.3903,10000
