,human_nums,normal_zombie_nums,elite_zombie_nums,winning_probability,death_mean,round_mean,experiment_times
150,6,10,3,30.64530645306453,5.299882998829988,5.879218792187923,11111
151,6,10,4,20.49320493204932,5.557735577355773,6.013590135901357,11111
152,7,0,1,99.99099990999909,1.3384033840338403,1.00810008100081,11111
153,7,0,2,99.8019980199802,1.5640356403564035,1.0711907119071191,11111
154,7,0,3,99.0819908199082,1.9175591755917558,1.2665826658266583,11111
155,7,0,4,97.54297542975428,2.419134191341913,1.6433264332643327,11111
156,7,1,0,99.99099990999909,1.1547115471154712,1.007380073800738,11111
157,7,1,1,99.8919989199892,1.3891638916389164,1.066150661506615,11111
158,7,1,2,99.3789937899379,1.7301773017730178,1.2623526235262352,11111
159,7,1,3,98.28098280982807,2.2540725407254074,1.6250562505625057,11111
160,7,1,4,94.6359463594636,2.9205292052920533,2.110161101611016,11111
161,7,2,0,99.95499954999548,1.221042210422104,1.071460714607146,11111
162,7,2,1,99.66699666996672,1.5557555575555757,1.2515525155251552,11111
163,7,2,2,98.65898658986588,2.088560885608856,1.6076860768607686,11111
164,7,2,3,95.99495994959948,2.739357393573936,2.091080910809108,11111
165,7,2,4,90.71190711907118,3.3913239132391317,2.5751057510575106,11111
166,7,3,0,99.8829988299883,1.3908739087390871,1.2583025830258303,11111
167,7,3,1,98.9739897398974,1.9346593465934656,1.6185761857618577,11111
168,7,3,2,96.5619656196562,2.5977859778597785,2.071910719107191,11111
169,7,3,3,92.04392043920441,3.2286922869228687,2.5351453514535147,11111
170,7,3,4,84.6188461884619,3.90009900099001,3.049050490504905,11111
171,7,4,0,99.5679956799568,1.6721267212672126,1.5974259742597423,11111
172,7,4,1,97.92997929979299,2.3250832508325083,2.037080370803708,11111
173,7,4,2,93.61893618936188,3.0394203942039417,2.501215012150121,11111
174,7,4,3,87.20187201872021,3.679956799567997,3.0180901809018086,11111
175,7,4,4,78.22878228782288,4.314463144631446,3.5234452344523444,11111
176,7,5,0,99.1359913599136,2.028260282602826,2.016110161101611,11111
177,7,5,1,96.3279632796328,2.7256772567725682,2.4770947709477094,11111
178,7,5,2,90.61290612906127,3.401854018540185,2.93879938799388,11111
179,7,5,3,81.0728107281073,4.113671136711367,3.4800648006480066,11111
180,7,5,4,70.87570875708758,4.711637116371164,3.992079920799208,11111
181,7,6,0,98.5509855098551,2.3459634596345964,2.432454324543245,11111
182,7,6,1,93.63693636936372,3.0864908649086487,2.9011790117901177,11111
183,7,6,2,85.49185491854918,3.792187921879219,3.3987039870398705,11111
184,7,6,3,74.80874808748086,4.483754837548376,3.9313293132931335,11111
185,7,6,4,62.71262712627126,5.098010980109801,4.461434614346143,11111
186,7,7,0,97.56097560975607,2.6383763837638377,2.8617586175861764,11111
187,7,7,1,91.35991359913601,3.3871838718387184,3.3467734677346765,11111
188,7,7,2,80.81180811808119,4.1591215912159125,3.895418954189542,11111
189,7,7,3,67.64467644676446,4.832868328683287,4.399333993339933,11111
190,7,7,4,54.80154801548014,5.442714427144272,4.895238952389524,11111
